iter	Passed	Remaining
0	4	1219
1	8	1197
2	11	1159
3	15	1125
4	18	1109
5	22	1084
6	25	1076
7	29	1067
8	32	1059
9	36	1056
10	40	1056
11	43	1049
12	47	1046
13	50	1022
14	54	1033
15	58	1033
16	60	1013
17	64	1008
18	68	1009
19	72	1008
20	75	1007
21	79	1002
22	82	999
23	86	998
24	90	997
25	94	990
26	97	990
27	101	989
28	105	985
29	108	980
30	112	976
31	116	974
32	120	971
33	123	967
34	127	962
35	130	958
36	134	958
37	138	954
38	141	949
39	145	945
40	149	943
41	153	940
42	156	935
43	160	931
44	164	929
45	167	925
46	171	921
47	174	917
48	178	913
49	182	911
50	186	908
51	190	906
52	193	903
53	197	900
54	201	897
55	204	892
56	208	888
57	212	886
58	216	882
59	219	878
60	223	874
61	226	870
62	230	866
63	234	863
64	236	856
65	240	852
66	244	848
67	247	845
68	251	841
69	254	836
70	258	833
71	262	830
72	265	826
73	269	822
74	272	818
75	276	815
76	280	811
77	283	807
78	287	803
79	291	800
80	294	797
81	297	790
82	301	788
83	305	785
84	309	782
85	312	778
86	316	774
87	319	770
88	323	767
89	327	763
90	330	759
91	334	755
92	337	751
93	341	748
94	345	744
95	348	740
96	352	737
97	356	733
98	359	730
99	363	726
100	366	722
101	370	718
102	374	715
103	377	711
104	381	707
105	384	704
106	388	701
107	392	697
108	396	694
109	399	689
110	402	685
111	406	682
112	409	678
113	413	674
114	417	671
115	420	667
116	424	663
117	427	659
118	431	656
119	435	652
120	438	648
121	442	645
122	445	641
123	449	637
124	452	634
125	456	630
126	460	626
127	463	623
128	468	620
129	471	616
130	475	613
131	478	609
132	482	606
133	486	602
134	490	599
135	494	595
136	498	592
137	501	588
138	505	585
139	508	581
140	512	578
141	516	574
142	519	570
143	522	566
144	526	562
145	530	559
146	533	555
147	537	551
148	540	547
149	544	544
150	547	540
151	551	536
152	554	533
153	558	529
154	562	525
155	565	522
156	569	518
157	572	514
158	575	510
159	579	506
160	582	503
161	586	499
162	589	495
163	593	492
164	597	488
165	601	485
166	605	482
167	609	478
168	612	475
169	616	471
170	620	467
171	623	464
172	627	460
173	631	457
174	635	453
175	639	450
176	642	446
177	646	443
178	649	439
179	653	435
180	657	432
181	660	428
182	664	424
183	667	421
184	671	417
185	675	413
186	678	410
187	682	406
188	685	402
189	689	399
190	693	395
191	697	392
192	700	388
193	704	385
194	708	381
195	711	377
196	715	374
197	719	370
198	723	366
199	726	363
200	730	359
201	733	355
202	737	352
203	741	348
204	744	345
205	748	341
206	752	337
207	755	334
208	759	330
209	762	326
210	766	323
211	770	319
212	773	316
213	777	312
214	780	308
215	784	305
216	788	301
217	791	297
218	795	294
219	798	290
220	802	286
221	806	283
222	810	279
223	814	276
224	818	272
225	821	269
226	825	265
227	828	261
228	832	258
229	836	254
230	839	250
231	843	247
232	847	243
233	851	240
234	854	236
235	858	232
236	861	229
237	865	225
238	868	221
239	872	218
240	875	214
241	879	210
242	883	207
243	886	203
244	890	199
245	894	196
246	898	192
247	902	189
248	906	185
249	909	181
250	913	178
251	916	174
252	920	171
253	924	167
254	928	163
255	931	160
256	935	156
257	938	152
258	942	149
259	945	145
260	949	141
261	952	138
262	956	134
263	960	130
264	963	127
265	967	123
266	970	119
267	974	116
268	978	112
269	981	109
270	985	105
271	988	101
272	992	98
273	996	94
274	999	90
275	1003	87
276	1006	83
277	1010	79
278	1014	76
279	1018	72
280	1022	69
281	1026	65
282	1029	61
283	1033	58
284	1037	54
285	1040	50
286	1044	47
287	1047	43
288	1050	39
289	1054	36
290	1058	32
291	1061	29
292	1065	25
293	1068	21
294	1072	18
295	1075	14
296	1079	10
297	1082	7
298	1086	3
299	1090	0
